provider,game_name,Game Tag,Game Sub Type,sub_category,casinoGameId,game_id,description,logo_round,logo_square,banner
Ncasino,3 Coins: Egypt,RNG,Slot,Slot,bng_3_coins_egypt,5240,0,,,
Ncasino,3 Hot Chillies,RNG,Slot,Slot,bng_3_hot_chillies,5241,0,,,
Ncasino,3 Hungry Pandas,RNG,Slot,Slot,bng_3_hungry_pandas,5242,0,,,
Ncasino,3 Pots of Egypt,RNG,Slot,Slot,bng_3_pots_of_egypt,5243,0,,,
Ncasino,777 Coins,RNG,Slot,Slot,bng_777_coins,5244,0,,,
Ncasino,Aztec Fire,RNG,Slot,Slot,bng_aztec_fire,5245,0,,,
Ncasino,Aztec Fire 2,RNG,Slot,Slot,bng_aztec_fire_2,5246,0,,,
Ncasino,Aztec Sun Hold and Win,RNG,Slot,Slot,bng_aztec_sun_hold_and_win,5247,0,,,
Ncasino,Big Heist,RNG,Slot,Slot,bng_big_heist,5248,0,,,
Ncasino,Black Wolf,RNG,Slot,Slot,bng_black_wolf,5249,0,,,
Ncasino,Black Wolf 2,RNG,Slot,Slot,bng_black_wolf_2,5250,0,,,
Ncasino,Book of Sun Multichance,RNG,Slot,Slot,bng_book_of_sun_multichance,5251,0,,,
Ncasino,Boom! Boom! Gold!,RNG,Slot,Slot,bng_boom_boom_gold,5252,0,,,
Ncasino,Candy Boom,RNG,Slot,Slot,bng_candy_boom,5253,0,,,
Ncasino,China Festival,RNG,Slot,Slot,bng_china_festival,5254,0,,,
Ncasino,Coin Lamp,RNG,Slot,Slot,bng_coin_lamp,5255,0,,,
Ncasino,Coin Up: Lighning,RNG,Slot,Slot,bng_coin_up_lighning,5256,0,,,
Ncasino,Coin Volcano,RNG,Slot,Slot,bng_coin_volcano,5257,0,,,
Ncasino,Dragon Pearls: hold and win,RNG,Slot,Slot,bng_dragon_pearls_hold_and_win,5258,0,,,
Ncasino,Dragon Wealth,RNG,Slot,Slot,bng_dragon_wealth,5259,0,,,
Ncasino,Egypt Fire,RNG,Slot,Slot,bng_egypt_fire,5260,0,,,
Ncasino,Fishin' Bear,RNG,Slot,Slot,bng_fishin_bear,5261,0,,,
Ncasino,Forest Spirit,RNG,Slot,Slot,bng_forest_spirit,5262,0,,,
Ncasino,Fruits & Joker: Fever,RNG,Slot,Slot,bng_fruits__joker_fever,5263,0,,,
Ncasino,Fruits & Sevens: Fever,RNG,Slot,Slot,bng_fruits__sevens_fever,5264,0,,,
Ncasino,Fruits Fever 5 lines,RNG,Slot,Slot,bng_fruits_fever_5_lines,5265,0,,,
Ncasino,Gold Express,RNG,Slot,Slot,bng_gold_express,5266,0,,,
Ncasino,Gold Nuggets,RNG,Slot,Slot,bng_gold_nuggets,5267,0,,,
Ncasino,Golden Teapot,RNG,Slot,Slot,bng_golden_teapot,5268,0,,,
Ncasino,Grab more Gold,RNG,Slot,Slot,bng_grab_more_gold,5269,0,,,
Ncasino,Grab the Gold,RNG,Slot,Slot,bng_grab_the_gold,5270,0,,,
Ncasino,Great Panda,RNG,Slot,Slot,bng_great_panda,5271,0,,,
Ncasino,Green Chilli,RNG,Slot,Slot,bng_green_chilli,5272,0,,,
Ncasino,Green Chilli 2,RNG,Slot,Slot,bng_green_chilli_2,5273,0,,,
Ncasino,Hawaii Riches,RNG,Slot,Slot,bng_hawaii_riches,5274,0,,,
Ncasino,Hit more Gold!,RNG,Slot,Slot,bng_hit_more_gold,5275,0,,,
Ncasino,Hit the Gold!,RNG,Slot,Slot,bng_hit_the_gold,5276,0,,,
Ncasino,Hot Fire Fruits,RNG,Slot,Slot,bng_hot_fire_fruits,5277,0,,,
Ncasino,Lady Fortune,RNG,Slot,Slot,bng_lady_fortune,5278,0,,,
Ncasino,Lamp of Wonder,RNG,Slot,Slot,bng_lamp_of_wonder,5279,0,,,
Ncasino,Lava Coins,RNG,Slot,Slot,bng_lava_coins,5280,0,,,
Ncasino,Lion Coins,RNG,Slot,Slot,bng_lion_coins,5281,0,,,
Ncasino,Little Farm,RNG,Slot,Slot,bng_little_farm,5282,0,,,
Ncasino,Lotus Charm,RNG,Slot,Slot,bng_lotus_charm,5283,Disabled,,,
Ncasino,Lucky Penny,RNG,Slot,Slot,bng_lucky_penny,5284,0,,,
Ncasino,Magic Apple,RNG,Slot,Slot,bng_magic_apple,5285,0,,,
